Ship name,IMO Number,Flag,Gross tonnage,Type of ship,Date,Time,Area,Latitude,Longitude,Place,Label
SARDEGNA,7359539.0,Panama,17551.0,TANKER,2005-09-23,14:45,Indian Ocean,27° 46.00' N,122° 28.00' E,In international waters,0
LUMINOUS HALO,9303039.0,Panama,31242.0,BULK CARRIER,2007-07-12,23:05,Indian Ocean,20° 11.29' N,86° 47.08' E,In international waters,0
MIDAS,7426227.0,Panama,20350.0,BULK CARRIER,2006-08-15,16:00,Arabian Sea,15° 06.00' N,71° 04.00' E,In port area,0
BIBBY MARINIA,8225759.0,Panama,3951.0,Other Ships Structures,2006-05-18,13:32,North Atlantic Ocean,57° 07.17' N,2° 04.46' W,In international waters,0
PAN RIVER,9001021.0,Panama,4195.0,GENERAL CARGO,2005-11-11,03:00,Indian Ocean,29° 09.20' N,145° 18.50' E,In international waters,0
SOUTHERN SPIRIT,9171125.0,Panama,18459.0,BULK CARRIER,2007-07-06,09:54,North Atlantic Ocean,29° 35.00' N,93° 45.00' W,In international waters,0
TROPICALE,7915096.0,Liberia,35190.0,Passenger Ship,1999-09-19,18:05,North Atlantic Ocean,25° 25.00' N,84° 14.00' W,In international waters,0
TRANSMODAL,8301785.0,Argentina,3491.0,RORO CARGO,2007-07-15,15:00,South America (A),6° 45.60' S,47° 47.80' W,In international waters,0
BOW SANTOS,9303651.0,Panama,11986.0,TANKER,2007-04-23,22:37,North Atlantic Ocean,29° 37.00' N,95° 01.00' W,In port area,0
ALEXANDROS T,8907735.0,Saint Vincent and the Grenadines,91164.0,BULK CARRIER,2006-05-03,20:27,Indian Ocean,37° 36.96' S,29° 55.62' E,In port area,0
ECSTASY,8711344.0,Panama,70367.0,PASSENGER,2007-07-01,07:34,North Atlantic Ocean,26° 27.80' N,91° 10.00' W,In international waters,0
CRANE ARROW,8308147.0,Bahamas,27818.0,OPEN-HATCH BULK CARRIER,2007-07-22,06:30,South America (A),1° 06.80' S,48° 29.30' W,In international waters,0
MAIN ORE,8000381.0,Panama,129077.0,ORE CARRIER,2007-06-12,17:15,Indian Ocean,4° 30.00' N,92° 41.00' E,In international waters,0
JIAN HUA,7419145.0,"Hong Kong, China",11280.0,BULK CARRIER,2006-04-29,08:03,Indian Ocean,24° 20.50' N,124° 06.00' E,In international waters,0
SEGESTA JET,9152038.0,Italy,392.0,Passenger / General Cargo Ship,2007-01-15,17:54,Mediterranean Sea,38° 11.00' N,15° 35.00' E,In international waters,0
CSO WELLSERVICER,8324579.0,United Kingdom,9158.0,DIVING MAINTENANCE SUPPORT,2006-06-05,00:07,North Atlantic Ocean,58° 58.00' N,5° 44.00' E,In international waters,0
ATLANTIC TRAVELLER,9058995.0,DIS (Denmark),16794.0,PASSENGER/RORO CARGO/FERRY,2007-06-28,09:47,North Atlantic Ocean,57° 07.50' N,8° 35.80' E,In international waters,0
HEIKE,9173446.0,United Kingdom,2988.0,GENERAL CARGO,2007-05-11,16:15,North Atlantic Ocean,55° 33.00' N,9° 58.00' E,In international waters,0
OSTRIA I,7370155.0,Panama,2272.0,TANKER,2005-08-01,01:50,Mediterranean Sea,39° 15.00' N,25° 28.00' E,In international waters,0
ARCTICA,7226263.0,Panama,4209.0,GENERAL CARGO,2005-10-07,12:00,South America (A),22° 53.39' S,43° 10.55' W,In port area,0
SEA BAISEN,9125815.0,Panama,17172.0,BULK CARRIER,2006-01-22,10:30,North Atlantic Ocean,53° 37.57' N,0° 11.23' W,In international waters,0
POWER STEEL,9195327.0,Panama,38881.0,BULK CARRIER,2007-01-19,04:00,South China Sea,3° 13.00' S,116° 25.00' E,In international waters,0
OCEAN LORD,9286592.0,Panama,42887.0,BULK CARRIER,2006-02-18,05:45,North Atlantic Ocean,53° 25.00' N,1° 48.80' E,In international waters,0
PICO EL AGUILA,8122971.0,Panama,8017.0,Chemical Tanker,2006-07-21,10:13,North Atlantic Ocean,51° 58.00' N,3° 42.80' E,In international waters,0
PICO EL AGUILA,8122971.0,Panama,8017.0,Chemical Tanker,2006-06-25,21:30,North Atlantic Ocean,30° 28.00' N,58° 17.10' W,In international waters,0
NAPARIMA,9136694.0,Panama,20573.0,TANKER,2006-10-04,02:35,North Atlantic Ocean,40° 51.00' N,65° 55.40' W,In international waters,0
BALSA 54,9136864.0,Panama,4358.0,GENERAL CARGO,2005-06-20,06:51,North Atlantic Ocean,17° 57.83' N,76° 48.75' W,In international waters,0
PRIDE OF DOVER,8517736.0,United Kingdom,26433.0,RORO CARGO/FERRY,2007-06-19,16:07,North Atlantic Ocean,51° 03.00' N,1° 15.00' E,In international waters,0
OSTEND WAY,7816501.0,Panama,6568.0,RORO CARGO,2006-01-07,01:00,North Atlantic Ocean,52° 10.12' N,1° 14.27' E,In international waters,0
OLYMPIAN HIGHWAY,9082324.0,Panama,47077.0,VEHICLES CARRIER,2006-10-11,06:00,North Atlantic Ocean,29° 17.36' N,94° 54.07' W,In international waters,0
KOSCIERZYNA,7725661.0,Panama,3127.0,BULK CARRIER,2006-08-15,18:45,North Atlantic Ocean,53° 17.84' N,4° 24.40' E,In international waters,0
ILENAO,8322533.0,Panama,37031.0,BULK CARRIER,2006-03-26,17:45,North Atlantic Ocean,49° 49.40' N,3° 22.10' W,In international waters,0
TORM SIGNE,9290957.0,Singapore,41503.0,TANKER,2007-06-09,09:30,South America (A),22° 49.02' S,43° 08.10' W,In international waters,0
WEELEK NO. 3,8211497.0,Panama,10316.0,TANKER,2007-06-06,01:30,Arabian Sea,20° 52.50' N,62° 25.00' E,In international waters,0
DILESI,9054614.0,Panama,4999.0,TANKER,2006-08-13,10:00,West Africa,6° 26.46' N,3° 28.39' E,In port area,0
GLORIOUS ACE,8021270.0,Panama,46047.0,VEHICLES CARRIER,2007-06-04,16:55,North Atlantic Ocean,51° 14.59' N,4° 22.11' E,In international waters,0
WORLD DYNASTY,9041837.0,Panama,7916.0,TANKER,2006-12-11,22:00,Indian Ocean,2° 07.50' N,81° 25.10' E,In international waters,0
SALIH C,7314589.0,Panama,10137.0,BULK CARRIER,2006-07-22,10:10,Mediterranean Sea,40° 54.89' N,29° 05.42' E,In international waters,0
MOL WISDOM,9101601.0,Panama,41114.0,CONTAINER SHIP,2006-12-17,03:50,South America (A),34° 56.48' S,56° 10.38' W,In port area,0
SKY HOPE,9228289.0,"Hong Kong, China",6899.0,CONTAINER SHIP,2004-06-21,07:38,Indian Ocean,31° 00.00' N,125° 47.20' E,In international waters,0
HUI LONG,9037032.0,"Hong Kong, China",12233.0,GENERAL CARGO,2005-05-18,16:02,Indian Ocean,5° 55.50' N,84° 20.70' E,In international waters,0
SIERRA NAVA,8807648.0,Panama,4660.0,REFRIGERATED CARGO,2007-01-28,11:30,North Atlantic Ocean,30° 06.50' N,5° 24.90' W,In international waters,0
KENT RELIANT,7403677.0,Panama,12409.0,GENERAL CARGO,2003-09-18,03:30,North Atlantic Ocean,18° 28.45' N,66° 08.03' W,In international waters,0
ISLAND SEAL,7100718.0,Panama,284.0,SUPPLY SHIP (O.R.S.V.),2006-08-25,17:30,North Atlantic Ocean,18° 22.10' N,64° 31.99' W,In international waters,0
VAGABOND,7367380.0,Panama,725.0,TUG/SUPPLY SHIP (O.R.S.V.),2006-10-15,23:45,North Atlantic Ocean,18° 24.20' N,64° 27.70' W,In international waters,0
VOUTAKOS,8518015.0,Panama,95748.0,BULK CARRIER,2006-09-29,15:30,North Atlantic Ocean,48° 17.00' N,7° 58.00' W,In international waters,0
ROSELLA,9288552.0,Panama,17951.0,BULK CARRIER,2006-11-06,22:36,South America (A),33° 21.19' S,55° 58.49' W,In international waters,0
K. LARSEN,9045651.0,Denmark,66.0,Fish Catching Vessel,2007-03-28,21:49,North Atlantic Ocean,57° 41.00' N,9° 54.00' E,In international waters,0
MINERVA CONCERT,9271406.0,Greece,56477.0,TANKER,2007-05-14,18:30,North Atlantic Ocean,55° 53.00' N,10° 56.00' E,In international waters,0
ROCKNES,9229910.0,Antigua and Barbuda,17765.0,"Bulk Dry (general, ore) Carrier",2004-01-19,16:27,North Atlantic Ocean,60° 20.20' N,5° 11.00' E,In international waters,0
BAHIA BLANCA,9156589.0,Panama,38477.0,BULK CARRIER,2007-04-11,02:44,North Atlantic Ocean,8° 22.41' N,62° 40.53' W,In international waters,0
PETIMATA OT RMS,7813016.0,Bulgaria,23363.0,BULK CARRIER,2004-07-09,02:21,North Atlantic Ocean,55° 12.40' N,11° 07.00' E,In international waters,0
BRILLIANT SKY,9296743.0,Panama,29739.0,BULK CARRIER,2006-06-19,08:18,Indian Ocean,12° 50.00' N,45° 02.00' E,In international waters,0
GRUS,8000458.0,Panama,45544.0,VEHICLES CARRIER,2006-10-18,12:30,North Atlantic Ocean,9° 20.00' N,86° 05.00' W,In international waters,0
SOLI DEO GLORIA,9148166.0,Netherlands,2377.0,General Cargo Ship,2004-05-05,04:15,North Atlantic Ocean,52° 32.60' N,4° 21.60' E,In international waters,0
TROPICAL BREEZE,9256444.0,Panama,18680.0,WOOD-CHIP CARRIER,2007-04-11,15:50,South China Sea,20° 51.95' N,106° 41.50' E,In port area,0
Onego Merchant,9277321.0,Netherlands,5057.0,General Cargo Ship,2004-08-11,02:35,North Atlantic Ocean,61° 07.20' N,5° 34.50' E,In international waters,0
DEO VOLENTE,8432651.0,Netherlands,61.0,Fish Catching Vessel,2004-08-12,06:00,North Atlantic Ocean,51° 42.20' N,3° 12.90' E,In international waters,0
SC BALTIC,7393793.0,DIS (Denmark),3382.0,PALLETS CARRIER,2006-09-14,20:40,North Atlantic Ocean,63° 43.10' N,11° 09.00' E,In international waters,0
SEABOARD TRADER,7208194.0,Panama,8517.0,RORO CARGO,2006-06-26,06:10,North Atlantic Ocean,19° 49.13' N,70° 42.12' W,In international waters,0
STADIONGRACHT,9202508.0,Netherlands,16639.0,GENERAL CARGO,2004-07-11,02:00,North Atlantic Ocean,55° 54.20' N,10° 51.30' E,In international waters,0
DAYANA,7214117.0,Panama,9588.0,RORO CARGO,2006-08-10,07:30,Indian Ocean,12° 22.00' N,79° 28.20' E,In international waters,0
CELTIC AMBASSADOR,8917417.0,United Kingdom,3739.0,GENERAL CARGO,2007-04-05,03:30,Mediterranean Sea,42° 28.50' N,15° 44.40' E,In international waters,0
STOC REGINA,9310317.0,Sweden,2947.0,TANKER,2006-12-27,00:40,North Atlantic Ocean,56° 12.00' N,11° 15.00' E,In international waters,0
ALBANE,9250684.0,Panama,6711.0,LIQUEFIED GAS TANKER,2006-12-30,04:20,North Atlantic Ocean,12° 06.00' N,47° 51.00' W,In international waters,0
ORADE,9008275.0,Antigua and Barbuda,1354.0,GENERAL CARGO,2005-03-01,21:54,North Atlantic Ocean,53° 42.02' N,0° 41.48' W,In international waters,0
SHETLAND,7924035.0,United Kingdom,14102.0,LIQUEFIED GAS TANKER,2007-03-22,23:57,North Atlantic Ocean,29° 14.00' N,95° 15.00' W,In international waters,0
CABO PILAR,9298777.0,Panama,40027.0,TANKER,2007-03-25,22:45,South America (A),13° 05.10' S,38° 32.40' W,In international waters,0
STOLT ASPIRATION,8610019.0,Liberia,7901.0,Chemical/oil TANKER,2005-04-13,02:10,North Atlantic Ocean,53° 24.20' N,3° 00.50' W,In international waters,0
ROKO,8205307.0,Bahamas,3955.0,REFRIGERATED CARGO,2006-10-17,23:00,South America (A),22° 54.10' S,43° 08.96' W,In port area,0
DISCOVERER,8209028.0,Malta,20212.0,BULK CARRIER,2007-03-08,09:10,South America (A),22° 53.43' S,43° 10.90' W,In port area,0
CARIBBEAN FRONTIER,9258325.0,Singapore,17150.0,bulk carrier,2002-05-03,06:59,South China Sea,1° 34.00' N,104° 37.00' E,In international waters,0
SWIFT ARROW,8918239.0,Bahamas,28157.0,OPEN-HATCH BULK CARRIER,2007-02-28,16:18,South America (A),25° 29.81' S,48° 29.72' W,In port area,0
ALIKI L,8323941.0,Malta,24653.0,BULK CARRIER,2006-09-11,09:15,Indian Ocean,22° 15.75' N,91° 43.91' E,In international waters,0
PRIDE OF HULL,9208629.0,United Kingdom,59925.0,PASSENGER/RORO CARGO,2007-03-04,02:24,North Atlantic Ocean,53° 01.50' N,1° 33.00' E,In international waters,0
THOR SWAN,9006215.0,DIS (Denmark),1964.0,GENERAL CARGO,2007-02-19,10:00,Malacca Strait,5° 55.40' N,97° 08.20' E,In international waters,0
SAGA SPRAY,9014078.0,"Hong Kong, China",29381.0,Open-Hatch Bulk Carrier,2006-11-16,08:00,North Atlantic Ocean,56° 01.70' N,12° 41.60' W,In international waters,0
FINNBIRCH,7528609.0,Sweden,15396.0,RORO CARGO,2006-11-01,15:39,North Atlantic Ocean,57° 01.00' N,17° 32.00' W,In international waters,0
GRAND LUCKY,8202393.0,Cambodia,1144.0,GENERAL CARGO,2006-06-08,15:30,Far East,32° 35.10' N,128° 48.00' E,In international waters,0
OUR LADY PAMELA,8508931.0,United Kingdom,313.0,"FERRY, TWIN-HULL",2007-02-02,06:52,North Atlantic Ocean,50° 51.00' N,1° 06.00' W,In port area,0
JAMES COOK,9338242.0,United Kingdom,5401.0,RESEARCH,2007-01-31,11:13,North Atlantic Ocean,50° 54.00' N,1° 24.40' W,In international waters,0
SEALARK,7711402.0,Bahamas,1059.0,GENERAL CARGO,2007-02-08,08:45,North Atlantic Ocean,56° 36.00' N,10° 20.00' E,In international waters,0
HYUNDAI FORTUNE,9112272.0,Panama,64054.0,CONTAINER SHIP,2006-03-21,17:15,Indian Ocean,12° 40.00' N,47° 22.30' E,In international waters,0
LADOGA-11,7614604.0,Russian Federation,1588.0,GENERAL CARGO,2007-02-08,16:00,North Atlantic Ocean,56° 57.00' N,8° 54.00' E,In international waters,0
Celtic Endeavour,8504234.0,United Kingdom,2568.0,General Cargo Ship,2007-01-20,23:30,North Atlantic Ocean,52° 49.00' N,3° 54.00' E,In international waters,0
MAERSK DELFT,9293088.0,United Kingdom,35923.0,RORO CARGO/FERRY,2007-01-29,14:42,North Atlantic Ocean,51° 20.00' N,1° 30.00' E,In international waters,0
DANIA-CARINA,7824601.0,United Kingdom,5378.0,CONTAINER SHIP,2006-12-21,23:00,Mediterranean Sea,36° 50.30' N,13° 24.80' E,In international waters,0
ANSGAR,9241994.0,Denmark,437.0,FISHING,2006-07-06,02:20,North Atlantic Ocean,55° 43.00' N,4° 40.00' E,In international waters,0
QUEEN ELIZABETH 2,6725418.0,United Kingdom,70327.0,PASSENGER,2006-12-31,10:34,North Atlantic Ocean,38° 56.00' N,12° 53.00' W,In international waters,0
TASCO 1,9125346.0,Thailand,4063.0,TANKER,2005-10-12,03:20,Indian Ocean,30° 48.30' N,122° 45.30' E,In international waters,0
HENG DA 1,9311294.0,Panama,2188.0,REFRIGERATED CARGO,2006-02-16,23:00,South China Sea,25° 17.30' N,119° 46.40' E,In international waters,0
AN JIN,8115069.0,China,3124.0,GENERAL CARGO,2005-11-22,00:18,South China Sea,9° 08.00' N,109° 10.00' E,In international waters,0
THOR INGER,8714621.0,DIS (Denmark),1167.0,GENERAL CARGO,2006-12-25,12:00,South China Sea,12° 04.00' N,120° 52.00' E,In international waters,0
FLOTTBEK,9313216.0,United Kingdom,16324.0,CONTAINER SHIP,2006-12-13,15:40,North Atlantic Ocean,48° 57.30' N,18° 46.20' W,In international waters,0
BORELLY,7119771.0,United Kingdom,571.0,GENERAL CARGO,2007-01-02,07:00,North Atlantic Ocean,53° 42.00' N,0° 41.00' W,In international waters,0
OCEAN VISCOUNT,7117008.0,United Kingdom,604.0,STAND-BY SAFETY VESSEL,2006-12-30,08:12,North Atlantic Ocean,57° 19.40' N,0° 50.80' E,In international waters,0
IVS HUNTER,9243693.0,Panama,19712.0,BULK CARRIER,2006-04-08,09:50,North Atlantic Ocean,33° 36.24' N,90° 05.12' W,In international waters,0
HISTRIA SUN,7906253.0,Panama,33541.0,BULK CARRIER,2006-05-03,01:05,South America (A),33° 37.69' S,59° 42.84' W,In international waters,0
MORNING MIRACLE,9289908.0,United Kingdom,46800.0,VEHICLES CARRIER,2006-09-02,08:23,North Atlantic Ocean,30° 15.60' N,32° 30.70' W,In international waters,0
HAI GONG 403,8429771.0,China,174.0,BARGE,2006-09-27,17:33,Far East,31° 23.80' N,121° 34.10' E,In international waters,0
GAZ HORIZON,7708687.0,Panama,39932.0,LIQUEFIED GAS TANKER,2006-07-22,13:50,North Atlantic Ocean,9° 06.44' N,79° 42.08' W,In international waters,0
FRIO PACIFIC,8324244.0,Panama,6117.0,REFRIGERATED CARGO,2006-09-13,19:15,North Atlantic Ocean,29° 43.87' N,89° 28.01' W,In international waters,0
ISOLA AZZURRA,9125243.0,Italy,9383.0,TANKER,2005-01-15,01:50,North Atlantic Ocean,39° 02.40' N,9° 11.50' E,In international waters,0
HERTFORD,9162617.0,United Kingdom,24836.0,CONTAINER SHIP,2006-12-05,05:15,North Atlantic Ocean,54° 02.18' N,5° 04.78' E,In international waters,0
GRAMPIAN GUARDIAN,8002200.0,United Kingdom,1112.0,STAND-BY SAFETY VESSEL,2006-12-04,04:00,North Atlantic Ocean,59° 42.00' N,1° 40.00' E,In international waters,0
ETERNAL GRACE,9342918.0,Panama,39738.0,BULK CARRIER,2006-05-25,07:20,North Atlantic Ocean,51° 25.00' N,2° 03.00' E,In international waters,0
EVER PEACE,9249207.0,Panama,17887.0,CONTAINER SHIP,2006-06-30,05:30,Indian Ocean,37° 51.47' S,144° 58.42' E,In international waters,0
PERTH,9162605.0,United Kingdom,24836.0,CONTAINER SHIP,2006-11-08,14:00,Mediterranean Sea,38° 25.60' N,26° 54.70' E,In international waters,0
ESTELLA,7916466.0,Panama,10837.0,TANKER,2006-03-12,16:16,West Africa,4° 35.73' N,7° 10.48' E,In international waters,0
EREN C,9344734.0,Panama,6177.0,GENERAL CARGO,2006-12-03,21:47,Mediterranean Sea,41° 31.00' N,29° 11.00' E,In international waters,0
CICLOPE,8307947.0,Panama,18977.0,GENERAL CARGO,2006-06-02,09:50,North Atlantic Ocean,33° 59.54' N,81° 02.42' W,In international waters,0
CALIFORNIA,7404889.0,Panama,40182.0,BULK CARRIER,2006-05-10,20:00,North Atlantic Ocean,36° 07.44' N,5° 21.40' W,In port area,0
CAMELLIA ACE,9103180.0,Panama,55336.0,VEHICLES CARRIER,2006-04-20,16:20,North Atlantic Ocean,9° 16.17' N,79° 55.26' W,In international waters,0
CRIMSON VENUS,9134177.0,Panama,40252.0,WOOD-CHIP CARRIER,2006-06-26,00:06,South America (A),33° 29.00' S,59° 54.00' W,In international waters,0
BOA VISTA,7325241.0,Panama,8101.0,PASSENGER/RORO CARGO/FERRY,2006-02-12,16:25,North Atlantic Ocean,51° 42.18' N,4° 57.17' W,In international waters,0
BOTANY TRADITION,8413980.0,Panama,7170.0,TANKER,2006-03-02,10:00,Indian Ocean,38° 00.00' S,145° 00.00' E,In port area,0
BALSA 59,9163142.0,Panama,4355.0,GENERAL CARGO,2006-09-10,23:48,North Atlantic Ocean,46° 03.14' N,73° 08.15' W,In international waters,0
ATLIXCO,8005032.0,Panama,41697.0,VEHICLES CARRIER,2006-05-31,23:15,North Atlantic Ocean,53° 04.00' N,4° 38.00' E,In international waters,0
ATLANTIC EXPRESS,8412223.0,Panama,15284.0,BULK CARRIER,2006-02-21,17:07,North Atlantic Ocean,46° 44.46' N,71° 17.16' W,In international waters,0
ATLANTICA I,7504031.0,Panama,18092.0,TANKER,2006-07-12,12:00,Indian Ocean,22° 15.70' N,91° 44.50' E,In international waters,0
ARION,8218407.0,Panama,4362.0,GENERAL CARGO,2006-09-22,11:40,North Atlantic Ocean,21° 42.00' N,17° 27.00' W,In international waters,0
CRUDE OCEAN,8325078.0,Liberia,58853.0,Oil Tanker,2002-07-16,11:30,North Atlantic Ocean,12° 24.43' N,70° 05.56' W,In international waters,0
DISCOVERY,5090660.0,United Kingdom,3008.0,RESEARCH,2006-12-02,02:17,North Atlantic Ocean,57° 04.50' N,6° 17.00' W,In international waters,0
L'ASTROLABE,8418198.0,French Antarctic Territory (France),1371.0,TUG/SUPPLY SHIP (O.R.S.V.),2005-01-27,04:00,Indian Ocean,46° 45.00' S,146° 32.00' E,In international waters,0
LOCH DUNVEGAN,9006409.0,United Kingdom,549.0,RORO CARGO/FERRY,2006-10-24,18:45,North Atlantic Ocean,55° 55.30' N,5° 09.40' W,In international waters,0
P&O NEDLLOYD FINLAND,9129471.0,Germany,3999.0,Container Ship,2004-03-01,14:40,North Atlantic Ocean,53° 43.00' N,9° 28.40' E,In international waters,0
LAURENTIAN,8112500.0,Bahamas,3375.0,RESEARCH/SUPPLY SHIP (O.R.S.V),2001-10-11,06:14,Indian Ocean,26° 09.10' N,53° 07.10' E,In international waters,0
ORAHOPE,9226566.0,DIS (Denmark),2631.0,TANKER,2006-09-30,22:00,North Atlantic Ocean,51° 25.00' N,8° 45.00' W,In international waters,0
ALANYA,8302179.0,United Kingdom,27013.0,OPEN-HATCH BULK CARRIER,2006-10-04,06:30,Mediterranean Sea,38° 24.00' N,19° 33.00' E,In international waters,0
CMA CGM VERLAINE,9221815.0,Germany,72760.0,CONTAINER SHIP,2004-06-11,09:37,Mediterranean Sea,35° 51.50' N,14° 32.50' E,In international waters,0
LOWLANDS GRACE,8911499.0,"Hong Kong, China",77273.0,BULK CARRIER,2004-10-07,15:25,Indian Ocean,20° 07.80' S,118° 33.70' E,In port area,0
JOSEPH AND CLARA SMALLWOOD,8604797.0,Canada,27614.0,PASSENGER/RORO CARGO/FERRY,2003-05-12,23:10,North Atlantic Ocean,47° 26.50' N,59° 08.00' W,In port area,0
LEEUWIN II,8510855.0,Australia,236.0,"Training Ship, sailing",2005-09-16,17:57,Indian Ocean,25° 29.18' S,113° 32.51' E,In international waters,0
QINGDAO STAR,8322569.0,Malta,22667.0,CONTAINER SHIP,2005-07-09,15:40,South China Sea,22° 18.00' N,114° 05.30' E,In international waters,0
LEADER I,8026672.0,Malta,20394.0,BULK CARRIER,2005-09-12,03:26,Far East,32° 54.70' N,126° 29.50' E,In international waters,0
SEA REY,7636872.0,Saint Vincent and the Grenadines,1059.0,GENERAL CARGO,2005-02-14,03:30,Mediterranean Sea,35° 24.00' N,21° 55.00' E,In international waters,0
NYK KAI,9030735.0,Panama,50606.0,CONTAINER SHIP,2006-07-17,19:50,North Atlantic Ocean,8° 12.48' N,79° 40.00' W,In international waters,0
JOKULFELL,8820303.0,Isle of Man (United Kingdom),2469.0,REFRIGERATED CARGO,2005-02-07,21:00,North Atlantic Ocean,63° 00.00' N,4° 56.00' W,In international waters,0
AMAZONAS,8706789.0,United Kingdom,12348.0,REFRIGERATED CARGO,2006-09-20,12:55,South America (A),34° 16.20' S,17° 20.40' W,In international waters,0
OCEAN VILLAGE,8611398.0,United Kingdom,63524.0,PASSENGER,2006-10-07,19:50,North Atlantic Ocean,43° 31.30' N,10° 01.30' W,In international waters,0
BRO TRAVELLER,8705321.0,Sweden,7973.0,TANKER,2005-09-17,07:36,North Atlantic Ocean,53° 20.61' N,6° 07.19' W,In international waters,0
GALWAY FISHER,9118161.0,United Kingdom,3368.0,TANKER,2006-04-02,21:16,North Atlantic Ocean,51° 42.40' N,5° 09.50' W,In international waters,0
BUE SKYE,6825206.0,United Kingdom,1339.0,STAND-BY SAFETY VESSEL,2006-03-15,03:20,North Atlantic Ocean,60° 16.70' N,4° 11.00' W,In international waters,0
AURA,9287716.0,United Kingdom,7519.0,CONTAINER SHIP,2006-02-07,02:22,North Atlantic Ocean,53° 36.60' N,9° 34.10' E,In international waters,0
LOCH NEVIS,9209063.0,United Kingdom,941.0,RORO CARGO/FERRY,2006-04-04,15:00,North Atlantic Ocean,57° 00.00' N,55° 50.00' W,In international waters,0
CP VENTURE,9253727.0,United Kingdom,55994.0,CONTAINER SHIP,2006-01-08,12:22,North Atlantic Ocean,46° 42.00' N,56° 34.10' W,In international waters,0
FORTH FISHER,9118159.0,United Kingdom,3368.0,TANKER,2006-10-04,23:30,North Atlantic Ocean,52° 03.00' N,5° 26.00' W,In international waters,0
CRESCENT CONNEMARA,9200081.0,United Kingdom,1845.0,TANKER,2006-04-08,04:58,North Atlantic Ocean,57° 16.53' N,5° 44.30' W,In international waters,0
BRITISH ENTERPRISE,9217448.0,United Kingdom,23682.0,TANKER,2004-12-11,14:05,Mediterranean Sea,40° 46.00' N,28° 51.00' E,In international waters,0
MOBY FANTASY,7387706.0,Italy,13284.0,Passenger / Ro-Ro Cargo Ship,2006-06-21,12:56,North Atlantic Ocean,40° 57.00' N,9° 42.00' E,In international waters,0
SIRTE STAR,8411853.0,Saint Vincent and the Grenadines,6819.0,CONTAINER SHIP,2006-07-18,08:40,Mediterranean Sea,38° 14.00' N,15° 39.00' E,In port area,0
UAL ANTWERP,9321108.0,United Kingdom,7767.0,General Cargo Ship,2006-09-26,12:24,Indian Ocean,31° 38.40' S,32° 43.80' E,In international waters,0
LAVADARA,9086954.0,Greece,35900.0,BULK CARRIER,2006-06-16,17:32,South America (A),33° 22.10' S,60° 07.40' W,In international waters,0
JUPITER 6,7391745.0,Saint Vincent and the Grenadines,447.0,TUG,2005-09-05,00:00,Indian Ocean,35° 52.60' S,23° 25.90' E,In port area,0
GOLFO ARANCI,9287584.0,Italy,26400.0,PASSENGER/RORO CARGO/FERRY,2006-03-10,17:20,North Atlantic Ocean,40° 55.00' N,9° 30.00' E,In port area,0
QUEEN MARY 2,9241061.0,United Kingdom,148528.0,PASSENGER,2006-10-08,02:00,North Atlantic Ocean,43° 09.30' N,65° 49.10' W,In international waters,0
P&O NEDLLOYD GENOA,9168219.0,United Kingdom,31333.0,Container Ship,2006-01-27,19:18,North Atlantic Ocean,50° 15.00' N,34° 02.00' W,In international waters,0
STAR ISMENE,9182966.0,NIS (Norway),32628.0,General Cargo Ship,2006-08-20,12:15,North Atlantic Ocean,56° 02.00' N,10° 51.50' E,In international waters,0
ELEFTHERIA,8204418.0,Panama,36828.0,"Bulk Dry (general, ore) Carrier",2005-06-05,04:00,North Atlantic Ocean,55° 13.70' N,11° 05.20' E,In international waters,0
DANICA GREEN,8102024.0,DIS (Denmark),902.0,General Cargo Ship,2005-01-16,17:10,Indian Ocean,31° 00.00' N,32° 00.00' E,In port area,0
KATHRIN,9188946.0,Switzerland,2999.0,General Cargo Ship,2006-02-12,22:32,North Atlantic Ocean,51° 14.00' N,1° 36.00' E,In international waters,0
TLEMCEN,7531254.0,Algeria,8393.0,Passenger / Ro-Ro Cargo Ship,2005-03-08,19:30,North Atlantic Ocean,43° 17.50' N,5° 03.20' E,In international waters,0
RODINA,7741328.0,Bulgaria,30596.0,"Bulk Dry (general, ore) Carrier",2005-10-24,15:21,North Atlantic Ocean,56° 03.17' N,10° 36.20' E,In international waters,0
COLOR TRAVELLER,8000226.0,Sweden,17098.0,Passenger / Ro-Ro Cargo Ship,2004-02-28,00:00,North Atlantic Ocean,55° 33.60' N,9° 45.30' E,In international waters,0
SEA EMS,8415196.0,Gibraltar (United Kingdom),1857.0,General Cargo Ship,2004-12-05,00:00,North Atlantic Ocean,56° 57.40' N,10° 23.50' E,In international waters,0
MIDLAND 2,8728490.0,Malta,4993.0,General Cargo Ship,2006-08-10,23:59,North Atlantic Ocean,50° 21.70' N,4° 08.10' W,In international waters,0
LUZON SPIRIT,9017082.0,Bahamas,57448.0,Oil Tanker,2004-10-13,12:00,North Atlantic Ocean,55° 33.30' N,9° 46.10' E,In international waters,0
MASTROGIORGIS,7915656.0,Panama,41643.0,"Bulk Dry (general, ore) Carrier",2004-12-09,09:05,North Atlantic Ocean,55° 15.00' N,11° 06.30' E,In international waters,0
DIEPPE,7931997.0,France,17672.0,Passenger / Ro-Ro Cargo Ship,2005-12-05,06:52,North Atlantic Ocean,50° 46.68' N,0° 03.57' E,In port area,0
